State,R0,psi,alpha,xi,I0,CumCase,Ratio,EndCases
Oklahoma,"(1.43,2.11)","(51.6,106.7)","(25,60.4)","(0.005,0.008)","(1150.34,3451.01)","(1.24,1.74)","(8.31,10.36)","(0.044,0.08)"
Oregon,"(1.99,2.37)","(88.4,131.1)","(28.4,66.2)","(0.004,0.006)","(54.04,162.12)","(0.97,1.36)","(10.82,13.57)","(0.028,0.068)"
Pennsylvania,"(1.85,2.3)","(17.3,28.2)","(21.3,57.2)","(0.008,0.012)","(1250.05,3750)","(4.72,6.62)","(8.04,10.53)","(0.192,0.4)"
Puerto Rico,"(1.78,2.26)","(42.4,63.9)","(45.5,138.6)","(0.003,0.004)","(514.94,1403.78)","(1.58,2.06)","(16.12,19.23)","(0.032,0.061)"
Rhode Island,"(2.07,2.54)","(40.7,94.3)","(8.2,26.9)","(0.022,0.031)","(7.49,22.47)","(2.92,3.82)","(2.05,2.37)","(0.211,0.365)"
South Carolina,"(1.9,2.53)","(95.8,220.7)","(9.5,21.8)","(0.007,0.009)","(170.99,512.96)","(1.4,1.8)","(6.38,7.38)","(0.107,0.153)"
South Dakota,"(1.74,2.29)","(30.2,81.4)","(8.7,30.5)","(0.002,0.003)","(62.96,188.88)","(3.15,4.14)","(5.48,6.73)","(0.246,0.425)"
Tennessee,"(3.83,6)","(188,408.1)","(4.9,10.1)","(0.002,0.003)","(54,162)","(2.27,2.86)","(7.23,8.46)","(0.197,0.252)"
Texas,"(1.9,2.17)","(65.7,123.8)","(12.5,33.8)","(0.004,0.006)","(36.36,109.09)","(1.49,2.08)","(7.44,9.56)","(0.097,0.181)"
Utah,"(1.81,2.27)","(138,391.6)","(4.9,13.8)","(0.003,0.004)","(30.76,92.29)","(1.22,1.65)","(4.53,5.38)","(0.116,0.168)"
Vermont,"(1.94,2.77)","(67.7,90.8)","(85.3,138.6)","(0.006,0.009)","(186.09,532.3)","(1.07,1.5)","(7.59,9.17)","(0.006,0.013)"
Virgin Islands,"(1.47,2.17)","(84.7,131.7)","(65.4,138.6)","(0.006,0.009)","(37.02,102.17)","(0.68,1.02)","(10.48,13.48)","(0.009,0.018)"
Virginia,"(1.7,1.96)","(12.1,19.2)","(36.8,138.6)","(0.003,0.005)","(799.67,2399)","(4.54,6.13)","(9.85,12.49)","(0.227,0.413)"
Washington,"(2.06,2.26)","(52.2,76.9)","(37.4,82.6)","(0.009,0.013)","(1.45,4.34)","(1.59,2.11)","(5.96,7.5)","(0.028,0.069)"
West Virginia,"(3.25,4.19)","(146.1,214.9)","(24.9,34)","(0.004,0.006)","(12.17,36.52)","(0.87,1.19)","(8.5,10.54)","(0.054,0.076)"
Wisconsin,"(2.51,2.98)","(167.3,478.6)","(4.9,12.2)","(0.006,0.009)","(0.5,1.5)","(1.53,1.98)","(5.59,6.69)","(0.131,0.171)"
Wyoming,"(3.59,5.11)","(386.1,843)","(4.9,10.8)","(0.003,0.004)","(0.5,1.5)","(0.87,1.14)","(5.22,5.99)","(0.083,0.112)"
